ID,CSE1,CSE2,CSE3,CSE4,SECTION
7286,ddsfs59**^&$,sada90asdgfw,#%%$68adsfy,edf63xfsadf,C
7287,sada79asdgfw,ddfs47xdff,**$@%66**&%&,dsfe66adsfy,A
7288,H%d%27**^&$,ddfs59$*%^&,dsfe75xfsadf,#%%$57dsffw,B
7289,sada34adsfy,ddfs41adsfy,dsfe64asdgfw,**$@%94adsfy,C
7290,**$@%75**^&$,H%d%84dsfy,ddsfs58$*%^&,H%d%50dsffw,B
7291,bffdd46vgfs,ddfs54$*%^&,#%%$56$*%^&,#%%$35asdgfw,A
7292,edf26$*%^&,**$@%75vgfs,bffdd92xfsadf,ddsfs44asdgfw,D
7293,dsfe30**^&$,#%%$71$*%^&,**$@%93**&%&,#%%$32**&%&,A
7294,H%d%55xfsadf,cxscc73$*%^&,sada79**&%&,cxscc78vgfs,C
7295,cxscc55xdff,bffdd73xfsadf,#%%$30dsfy,cxscc52adsfy,B
7296,dsfe86asdgfw,edf76dsffw,ddfs54dsfy,bffdd38dsfy,C
7297,ddfs33**^&$,**$@%26vgfs,edf45**&%&,H%d%53dsfy,C
7298,H%d%66$*%^&,H%d%61$*%^&,#%%$64xdff,dsfe46dsfy,D
7299,sada49$*%^&,**$@%67vgfs,ddsfs28**&%&,ddfs64dsffw,D
7300,ddsfs83**^&$,H%d%57xfsadf,cxscc75**&%&,edf63**&%&,D
7301,**$@%37vgfs,cxscc61dsfy,sada43xfsadf,dsfe25adsfy,D
7302,bffdd44adsfy,edf91$*%^&,bffdd49dsffw,ddfs73adsfy,C
7303,#%%$26asdgfw,cxscc45asdgfw,bffdd26dsffw,edf32vgfs,D
7304,#%%$87dsfy,cxscc31**&%&,ddfs73$*%^&,sada88**&%&,D
7305,**$@%91asdgfw,#%%$25vgfs,H%d%31asdgfw,ddfs84xfsadf,D
7306,edf47dsffw,cxscc77dsffw,sada49xfsadf,ddsfs32**&%&,A
7307,#%%$70dsffw,bffdd58**^&$,ddsfs68**&%&,dsfe65dsfy,D
7308,cxscc67xfsadf,sada87vgfs,**$@%89xdff,sada28asdgfw,C
7309,ddfs83vgfs,dsfe79vgfs,dsfe30**&%&,ddfs41**&%&,C
7310,dsfe53**&%&,ddsfs45**^&$,**$@%35**&%&,sada50adsfy,C
7311,H%d%42**^&$,sada40**^&$,dsfe92asdgfw,edf65$*%^&,C
7312,edf85**&%&,dsfe38dsffw,#%%$37xdff,sada66xdff,A
7313,ddsfs49asdgfw,H%d%82asdgfw,cxscc45adsfy,**$@%83dsffw,C
7314,bffdd73**^&$,edf76dsffw,**$@%28xdff,cxscc29xdff,A
7315,**$@%80**&%&,sada67adsfy,#%%$31vgfs,cxscc55dsfy,C
7316,dsfe59adsfy,bffdd77xdff,bffdd90adsfy,**$@%56**&%&,D
7317,dsfe75**^&$,#%%$72$*%^&,sada54xfsadf,**$@%71dsfy,C
7318,H%d%31**^&$,dsfe71**&%&,#%%$63**&%&,cxscc58dsffw,C
7319,ddsfs45dsfy,**$@%27**^&$,ddsfs29dsffw,sada73asdgfw,A
7320,dsfe25xfsadf,H%d%78**^&$,H%d%40xfsadf,edf73vgfs,C
7321,sada70**^&$,H%d%78xdff,ddfs70**^&$,dsfe28xdff,A
7322,cxscc68xdff,ddfs52asdgfw,sada45dsffw,edf94adsfy,B
7323,dsfe89vgfs,**$@%89**&%&,cxscc58adsfy,cxscc55xfsadf,D
7324,sada58**&%&,cxscc67**^&$,#%%$84dsffw,ddfs59xdff,A
7325,ddsfs91vgfs,ddfs57**^&$,dsfe54adsfy,edf44**&%&,C
7326,dsfe72adsfy,bffdd38adsfy,cxscc35**^&$,bffdd46**^&$,D
7327,bffdd62**&%&,H%d%88**&%&,edf33**^&$,edf27dsffw,A
7328,cxscc39dsfy,sada60asdgfw,**$@%77asdgfw,ddfs30asdgfw,C
7329,#%%$41asdgfw,**$@%51dsfy,edf48**&%&,H%d%94dsfy,D
7330,ddsfs74asdgfw,ddfs53$*%^&,sada76xfsadf,bffdd90**^&$,B
7331,bffdd56vgfs,H%d%72xdff,cxscc53**&%&,cxscc31dsffw,C
7332,bffdd31vgfs,sada76xfsadf,**$@%88dsfy,ddsfs42**^&$,D
7333,dsfe84dsffw,ddfs52dsfy,**$@%79vgfs,**$@%52$*%^&,C
7334,dsfe37asdgfw,dsfe42dsffw,dsfe37vgfs,dsfe26xfsadf,D
7335,cxscc61$*%^&,cxscc56xfsadf,#%%$67adsfy,dsfe82vgfs,D
7336,**$@%73**^&$,**$@%45xfsadf,ddsfs82xdff,#%%$53asdgfw,A
7337,cxscc72asdgfw,edf88$*%^&,edf51dsffw,dsfe65dsfy,B
7338,cxscc83adsfy,edf73adsfy,dsfe52dsfy,#%%$42dsffw,A
7339,H%d%78adsfy,cxscc58adsfy,H%d%93vgfs,edf57dsffw,C
7340,**$@%93**^&$,edf85adsfy,sada83xfsadf,cxscc93dsffw,D
7341,edf70adsfy,sada29**^&$,ddfs44dsffw,edf66dsffw,B
7342,ddfs73dsffw,**$@%28dsffw,**$@%49xfsadf,**$@%50dsfy,B
7343,**$@%58**^&$,dsfe93xdff,bffdd58dsffw,edf28$*%^&,C
7344,**$@%56**^&$,ddsfs75adsfy,**$@%88vgfs,ddsfs48xdff,A
7345,dsfe78dsffw,H%d%65**^&$,cxscc78adsfy,#%%$32dsfy,B
7346,**$@%63adsfy,edf30vgfs,bffdd45asdgfw,edf36xdff,D
7347,sada91xdff,ddsfs82**^&$,H%d%85xdff,H%d%32**^&$,D
7348,edf35$*%^&,#%%$27xfsadf,#%%$54$*%^&,ddsfs63adsfy,A
7349,#%%$59$*%^&,**$@%89xdff,edf52dsfy,cxscc68asdgfw,B
7350,ddsfs41**&%&,cxscc29**^&$,dsfe53xfsadf,ddsfs37vgfs,A
7351,ddfs94$*%^&,dsfe66dsffw,ddsfs44xdff,#%%$81dsfy,D
7352,ddsfs72asdgfw,H%d%44$*%^&,bffdd34**^&$,bffdd32vgfs,C
7353,ddsfs54asdgfw,ddsfs51vgfs,**$@%76**&%&,dsfe82$*%^&,A
7354,cxscc75xdff,cxscc42xdff,H%d%93xdff,dsfe94asdgfw,B
7355,ddfs41dsfy,edf61**^&$,cxscc71**&%&,bffdd72dsfy,D
7356,ddfs86dsffw,H%d%79asdgfw,dsfe57xdff,ddsfs72dsfy,B
7357,cxscc77adsfy,**$@%55$*%^&,**$@%70xdff,H%d%74xdff,C
7358,**$@%67xdff,ddfs39xfsadf,dsfe29adsfy,#%%$57xfsadf,A
7359,bffdd42adsfy,dsfe79vgfs,edf51xdff,bffdd89$*%^&,A
7360,edf93asdgfw,dsfe54**&%&,ddfs43dsffw,cxscc50xdff,C
7361,#%%$51$*%^&,bffdd43**&%&,dsfe63$*%^&,H%d%33**&%&,D
7362,#%%$94**&%&,ddfs32xfsadf,H%d%64vgfs,ddsfs94xdff,B
7363,dsfe82**^&$,H%d%41dsfy,edf58$*%^&,bffdd94dsffw,A
7364,**$@%63dsffw,edf74xdff,ddsfs38xfsadf,edf35xdff,C
7365,ddfs85adsfy,edf30xfsadf,dsfe47xdff,H%d%88xdff,A
7366,bffdd68$*%^&,ddsfs25xfsadf,**$@%92dsfy,dsfe85adsfy,B
7367,bffdd80**^&$,dsfe60xfsadf,**$@%67dsfy,H%d%81xdff,A
7368,#%%$34adsfy,cxscc49vgfs,dsfe33**&%&,#%%$41dsffw,D
7369,#%%$73dsfy,edf66asdgfw,H%d%68dsffw,edf32**^&$,D
7370,dsfe68adsfy,#%%$50$*%^&,sada85dsfy,#%%$27xfsadf,C
7371,dsfe49dsfy,#%%$51**&%&,**$@%63**&%&,**$@%93**&%&,B
7372,ddsfs39xfsadf,#%%$69vgfs,ddfs29dsffw,sada62adsfy,C
7373,ddfs87vgfs,bffdd41vgfs,**$@%67**^&$,cxscc64adsfy,C
7374,H%d%37**^&$,#%%$53vgfs,bffdd73**^&$,dsfe68**&%&,C
7375,bffdd51adsfy,cxscc65dsfy,edf62dsffw,dsfe90dsfy,A
7376,dsfe52dsfy,cxscc94vgfs,edf52**^&$,ddfs44**^&$,B
7377,#%%$45**^&$,#%%$48**^&$,dsfe62vgfs,ddsfs91xfsadf,C
7378,#%%$31asdgfw,H%d%80$*%^&,sada69xfsadf,sada76dsfy,D
7379,cxscc56asdgfw,#%%$46dsffw,**$@%78adsfy,cxscc46adsfy,B
7380,ddsfs60dsffw,#%%$46**&%&,ddsfs32dsfy,dsfe32**&%&,D
7381,edf91vgfs,sada91adsfy,**$@%90$*%^&,**$@%78**^&$,C
7382,ddsfs85dsfy,bffdd38**^&$,dsfe51$*%^&,#%%$33asdgfw,D
7383,edf60dsffw,ddfs71vgfs,ddfs72xfsadf,sada76asdgfw,A
7384,ddsfs81vgfs,cxscc44**&%&,bffdd32adsfy,sada31**^&$,B
7385,bffdd89asdgfw,ddsfs70**&%&,#%%$47vgfs,sada41xfsadf,D
7386,#%%$38vgfs,dsfe85xfsadf,**$@%73dsfy,ddfs58xdff,A
7387,sada38vgfs,edf76asdgfw,H%d%80vgfs,edf79asdgfw,B
7388,H%d%88adsfy,bffdd93$*%^&,bffdd47**^&$,cxscc50vgfs,C
7389,**$@%35dsfy,ddsfs28asdgfw,edf29**^&$,dsfe76dsffw,C
7390,sada69xdff,#%%$88**^&$,#%%$72$*%^&,edf47vgfs,B
7391,#%%$84dsfy,bffdd37asdgfw,ddsfs61$*%^&,H%d%90xfsadf,C
7392,edf58vgfs,edf31dsffw,#%%$82$*%^&,H%d%31$*%^&,C
7393,bffdd62**^&$,ddfs49vgfs,#%%$85xfsadf,ddsfs76**&%&,B
7394,cxscc70adsfy,edf88**^&$,bffdd90adsfy,bffdd56dsffw,A
7395,ddsfs58xdff,cxscc91adsfy,dsfe62adsfy,dsfe44dsffw,C
7396,ddsfs80dsffw,ddsfs69xfsadf,edf74**^&$,cxscc41dsffw,A
7397,bffdd60vgfs,cxscc87dsfy,dsfe30dsffw,ddsfs68dsfy,C
7398,bffdd44asdgfw,H%d%60asdgfw,sada59dsfy,H%d%31asdgfw,D
7399,bffdd45vgfs,#%%$77vgfs,edf63xdff,**$@%58dsffw,D
7400,ddsfs73xfsadf,ddfs54dsfy,edf62adsfy,ddsfs66$*%^&,A
7401,cxscc88xfsadf,edf31dsffw,ddsfs41vgfs,H%d%87vgfs,C
7402,dsfe60**^&$,#%%$84xfsadf,#%%$61**^&$,H%d%55**&%&,C
7403,edf88**&%&,edf41adsfy,ddfs61dsfy,H%d%62xdff,B
7404,bffdd65asdgfw,**$@%74asdgfw,edf48vgfs,ddsfs36$*%^&,D
7405,ddsfs62xfsadf,#%%$55asdgfw,#%%$73xdff,H%d%25xfsadf,C
7406,sada71adsfy,H%d%63$*%^&,cxscc94**&%&,ddfs54xfsadf,B
7407,#%%$61asdgfw,ddsfs91asdgfw,H%d%60dsfy,bffdd41**^&$,D
7408,bffdd73xdff,sada65**^&$,H%d%88$*%^&,dsfe43**^&$,D
7409,#%%$94asdgfw,cxscc72**^&$,**$@%44dsffw,dsfe31xfsadf,C
7410,#%%$56vgfs,cxscc86xfsadf,dsfe72vgfs,dsfe56vgfs,A
7411,sada67vgfs,sada70xfsadf,#%%$38xdff,ddfs41xdff,A
7412,bffdd36adsfy,bffdd31asdgfw,ddfs31xdff,#%%$41asdgfw,C
7413,dsfe43vgfs,**$@%27xdff,**$@%64adsfy,ddfs74xdff,C
7414,edf60xfsadf,sada55**&%&,ddfs86vgfs,#%%$41$*%^&,A
7415,ddfs48xdff,edf33**^&$,cxscc66$*%^&,cxscc73vgfs,D
7416,cxscc76xfsadf,ddsfs77xfsadf,ddsfs48asdgfw,#%%$60$*%^&,B
7417,cxscc86xfsadf,edf75**^&$,#%%$93xfsadf,#%%$58**^&$,B
7418,#%%$44xfsadf,#%%$37asdgfw,cxscc84xfsadf,sada64**^&$,C
7419,ddsfs64dsfy,sada34**&%&,ddsfs57$*%^&,edf89dsffw,B
7420,bffdd74dsffw,ddsfs87**^&$,sada51**^&$,#%%$27$*%^&,A
7421,sada65$*%^&,bffdd46xfsadf,edf41dsffw,#%%$73vgfs,C
7422,#%%$41**&%&,edf60**&%&,sada64dsfy,cxscc26**^&$,B
7423,**$@%29asdgfw,edf88asdgfw,**$@%93**&%&,ddsfs71xdff,D
7424,**$@%62asdgfw,ddsfs29xfsadf,**$@%71**^&$,bffdd42dsffw,C
7425,ddfs48dsfy,ddsfs79dsffw,cxscc48**^&$,bffdd50asdgfw,B
7426,H%d%81xfsadf,cxscc27xdff,sada88dsffw,ddfs88xdff,C
7427,ddfs82$*%^&,sada36xdff,#%%$61**^&$,cxscc82**^&$,C
7428,cxscc59**^&$,cxscc80xfsadf,#%%$31dsfy,#%%$90dsffw,B
7429,cxscc87**&%&,ddfs26xdff,**$@%31**&%&,ddfs55**^&$,D
7430,**$@%56xfsadf,dsfe92$*%^&,cxscc85xdff,cxscc88adsfy,D
7431,**$@%35dsffw,ddsfs74vgfs,cxscc47vgfs,edf81dsfy,C
7432,edf88xdff,edf92vgfs,cxscc58adsfy,ddfs29adsfy,B
7433,dsfe76xdff,cxscc54xdff,sada91dsffw,edf79$*%^&,A
7434,ddfs38dsfy,cxscc44dsffw,edf35xfsadf,sada92adsfy,B
7435,sada73vgfs,**$@%47asdgfw,edf34vgfs,H%d%85vgfs,B
7436,**$@%57xfsadf,#%%$35**^&$,sada78**&%&,H%d%90adsfy,A
7437,ddsfs33vgfs,H%d%93**^&$,edf61vgfs,**$@%83**^&$,C
7438,**$@%63xfsadf,cxscc52$*%^&,bffdd42xfsadf,cxscc56dsffw,A
7439,**$@%74**&%&,H%d%75xdff,ddsfs28adsfy,ddsfs56xdff,B
7440,H%d%34adsfy,**$@%92adsfy,bffdd74vgfs,dsfe86dsffw,A
7441,edf72asdgfw,bffdd89xfsadf,bffdd64$*%^&,edf70$*%^&,D
7442,#%%$61xfsadf,H%d%94$*%^&,cxscc42$*%^&,sada34xfsadf,C
7443,dsfe64**^&$,cxscc89dsfy,edf58xfsadf,H%d%66dsfy,D
7444,dsfe41xfsadf,dsfe63vgfs,#%%$71dsfy,cxscc55xfsadf,D
7445,dsfe34**&%&,bffdd80**&%&,bffdd94**&%&,ddfs58**&%&,B
7446,bffdd90xfsadf,cxscc59vgfs,ddsfs64$*%^&,cxscc67dsfy,A
7447,sada69vgfs,dsfe63xfsadf,#%%$88adsfy,dsfe50**^&$,C
7448,cxscc64$*%^&,ddfs94**&%&,edf48xdff,edf44xdff,B
7449,cxscc31dsffw,cxscc57$*%^&,ddsfs39asdgfw,bffdd26dsffw,D
7450,ddfs76adsfy,edf79**^&$,H%d%54xdff,H%d%38xfsadf,A
7451,bffdd44**&%&,H%d%52adsfy,dsfe28dsffw,H%d%82asdgfw,C
7452,bffdd45vgfs,dsfe57adsfy,#%%$44asdgfw,edf31dsffw,B
7453,cxscc31xfsadf,ddfs30dsfy,cxscc63dsffw,H%d%89vgfs,A
7454,#%%$25**&%&,ddsfs90adsfy,**$@%37adsfy,dsfe80dsffw,B
7455,#%%$49vgfs,H%d%73dsffw,**$@%51vgfs,ddfs47dsffw,D
7456,bffdd67asdgfw,**$@%75vgfs,ddsfs74**&%&,ddfs71vgfs,A
7457,bffdd78adsfy,ddfs44xfsadf,cxscc81adsfy,H%d%58**&%&,A
7458,**$@%83**&%&,dsfe73asdgfw,bffdd75xfsadf,sada65adsfy,B
7459,edf32**^&$,bffdd72adsfy,#%%$86adsfy,bffdd64xdff,D
7460,edf26dsfy,cxscc61$*%^&,sada77**^&$,dsfe62dsfy,C
7461,**$@%87vgfs,edf61$*%^&,edf58**^&$,sada50adsfy,D
7462,cxscc90$*%^&,ddsfs27$*%^&,bffdd72asdgfw,ddsfs49**^&$,A
7463,ddfs83asdgfw,ddsfs92dsfy,cxscc36xfsadf,#%%$44xdff,B
7464,H%d%36**&%&,H%d%42asdgfw,bffdd93xfsadf,edf46xdff,A
7465,cxscc78xdff,#%%$89asdgfw,ddsfs43**&%&,H%d%67**^&$,A
7466,bffdd55vgfs,edf45asdgfw,bffdd50dsfy,edf51dsffw,B
7467,edf26dsfy,H%d%65xdff,ddsfs28xfsadf,bffdd82**&%&,D
7468,bffdd28xfsadf,H%d%80vgfs,sada83dsffw,#%%$64dsfy,B
7469,bffdd39adsfy,edf89adsfy,ddsfs61vgfs,edf79**^&$,A
7470,dsfe49$*%^&,edf40$*%^&,ddsfs38dsfy,cxscc78**^&$,A
7471,H%d%61**&%&,H%d%57$*%^&,#%%$89adsfy,ddsfs54xdff,A
7472,dsfe65vgfs,H%d%34dsfy,**$@%38**&%&,H%d%38adsfy,A
7473,**$@%55vgfs,cxscc77$*%^&,dsfe90xdff,**$@%70**^&$,B
7474,bffdd39dsffw,cxscc61adsfy,**$@%72dsffw,edf89dsffw,C
7475,ddfs31vgfs,sada26$*%^&,bffdd34xdff,**$@%36dsfy,D
7476,ddfs31dsfy,dsfe75**^&$,H%d%56vgfs,cxscc51$*%^&,A
7477,#%%$56**&%&,dsfe71**&%&,**$@%93asdgfw,dsfe44xdff,B
7478,ddsfs56vgfs,bffdd94xdff,edf78**^&$,**$@%48vgfs,B
7479,#%%$50dsfy,edf69**&%&,sada72**^&$,#%%$65**&%&,B
7480,sada26$*%^&,#%%$34**^&$,bffdd57asdgfw,#%%$91$*%^&,C
7481,ddfs77xdff,sada70dsfy,H%d%66**&%&,H%d%89xdff,D
7482,cxscc80**^&$,**$@%51xfsadf,#%%$87**&%&,**$@%75$*%^&,C
7483,ddsfs61**^&$,ddfs61dsfy,ddfs62**^&$,bffdd31dsfy,C
7484,dsfe65**^&$,**$@%92dsfy,edf59adsfy,ddsfs52vgfs,B
7485,sada51asdgfw,ddsfs70**^&$,#%%$68vgfs,bffdd79dsffw,D
7486,sada30dsfy,edf31$*%^&,H%d%59xfsadf,bffdd56xdff,C
7487,dsfe61**&%&,dsfe83**&%&,ddsfs59$*%^&,**$@%75**&%&,C
7488,ddsfs94$*%^&,ddfs78xdff,dsfe93vgfs,#%%$59asdgfw,B
7489,ddfs85dsffw,cxscc85$*%^&,#%%$70**^&$,cxscc32adsfy,B
7490,dsfe48$*%^&,H%d%66$*%^&,bffdd64**&%&,ddfs28xfsadf,D
7491,bffdd42**^&$,cxscc48dsfy,sada90**&%&,H%d%59dsffw,D
7492,#%%$45dsfy,ddfs33xfsadf,edf87xfsadf,bffdd90dsffw,D
7493,**$@%32vgfs,ddsfs58dsffw,ddsfs60vgfs,ddsfs81asdgfw,B
7494,cxscc94dsfy,**$@%54**^&$,ddsfs84**&%&,**$@%58adsfy,D
7495,ddsfs78vgfs,**$@%55dsfy,#%%$52dsffw,cxscc67**^&$,B
7496,**$@%36asdgfw,cxscc86**&%&,**$@%69$*%^&,ddsfs39xdff,A
7497,dsfe77asdgfw,dsfe56dsffw,dsfe36**&%&,cxscc56adsfy,A
7498,#%%$72dsffw,ddsfs39adsfy,**$@%46xfsadf,sada74xfsadf,A
7499,cxscc84vgfs,ddfs37asdgfw,H%d%34$*%^&,bffdd76$*%^&,D
7500,ddfs76dsffw,cxscc42dsfy,ddfs61asdgfw,edf54xfsadf,A
7501,#%%$45asdgfw,#%%$82adsfy,cxscc93xdff,dsfe25adsfy,A
7502,sada70$*%^&,ddfs52adsfy,**$@%48$*%^&,H%d%42vgfs,D
7503,dsfe87asdgfw,cxscc32dsffw,H%d%83**&%&,#%%$56dsffw,B
7504,dsfe85asdgfw,#%%$31**^&$,ddfs69dsffw,**$@%27adsfy,D
7505,cxscc67dsfy,bffdd58dsfy,**$@%34adsfy,sada38**&%&,C
7506,cxscc91vgfs,H%d%35**&%&,dsfe41xfsadf,sada70vgfs,B
7507,H%d%26vgfs,sada44dsffw,edf63dsffw,cxscc60xdff,A
7508,cxscc82adsfy,bffdd61**&%&,#%%$52xdff,**$@%42xdff,D
7509,dsfe46**&%&,dsfe43xfsadf,dsfe47**&%&,edf70asdgfw,C
7510,**$@%28asdgfw,**$@%50dsfy,dsfe77**&%&,bffdd45adsfy,B
7511,#%%$74**^&$,ddfs60dsffw,ddsfs30**^&$,H%d%27$*%^&,A
7512,#%%$43$*%^&,dsfe71adsfy,sada54asdgfw,#%%$59dsfy,A
7513,H%d%41**^&$,sada55dsfy,ddsfs80$*%^&,sada93asdgfw,A
7514,#%%$92xfsadf,sada33dsfy,#%%$49$*%^&,edf35asdgfw,A
7515,ddfs38asdgfw,**$@%26asdgfw,bffdd57dsffw,#%%$42adsfy,D
7516,#%%$67$*%^&,sada93xdff,sada50vgfs,bffdd42xfsadf,D
7517,cxscc76vgfs,sada54adsfy,**$@%91adsfy,H%d%83vgfs,C
7518,**$@%59vgfs,bffdd29**^&$,sada34asdgfw,H%d%33adsfy,D
7519,cxscc68xfsadf,bffdd28**^&$,bffdd44**&%&,edf25vgfs,C
7520,dsfe36dsfy,**$@%94xdff,**$@%57vgfs,dsfe56**^&$,A
7521,sada26xdff,H%d%42xfsadf,cxscc28xfsadf,#%%$29dsffw,C
7522,cxscc67**^&$,**$@%80asdgfw,edf83dsfy,sada94asdgfw,D
7523,ddfs49asdgfw,ddsfs59adsfy,sada92dsfy,edf33**^&$,C
7524,ddfs74xdff,sada63vgfs,sada80dsfy,#%%$35**&%&,B
7525,edf49**^&$,edf46dsfy,H%d%93**&%&,bffdd88xfsadf,B
7526,bffdd61**^&$,H%d%87dsffw,sada32xdff,ddfs56adsfy,A
7527,ddfs77dsffw,sada58$*%^&,dsfe91**^&$,ddsfs92dsfy,C
7528,dsfe90xdff,bffdd84vgfs,sada93**^&$,bffdd73**&%&,D
7529,edf46$*%^&,sada58**&%&,ddfs76xfsadf,sada85adsfy,C
7530,bffdd60dsffw,ddfs65**&%&,H%d%92xfsadf,sada73dsffw,C
7531,bffdd62xdff,H%d%43vgfs,cxscc78**^&$,H%d%28asdgfw,A
7532,#%%$35**^&$,#%%$83dsffw,edf61$*%^&,**$@%66adsfy,A
7533,ddfs39adsfy,cxscc35adsfy,dsfe72dsffw,edf25adsfy,C
7534,ddfs50**^&$,#%%$27xdff,dsfe34xdff,bffdd40**^&$,D
7535,dsfe44asdgfw,**$@%33adsfy,bffdd57adsfy,**$@%41**^&$,C
7536,#%%$81adsfy,#%%$78**&%&,**$@%78xfsadf,ddsfs44adsfy,C
7537,edf49vgfs,dsfe80**&%&,**$@%28$*%^&,**$@%26dsfy,C
7538,edf86asdgfw,edf40xdff,ddfs46xfsadf,cxscc51**&%&,B
7539,sada62dsfy,cxscc81xdff,cxscc77$*%^&,dsfe90dsfy,C
7540,cxscc44xdff,ddsfs83vgfs,**$@%38xdff,**$@%92dsfy,B
7541,cxscc61xdff,bffdd29xfsadf,H%d%55xdff,dsfe35asdgfw,B
7542,cxscc58xdff,sada64xfsadf,edf64xdff,ddfs25xdff,B
7543,sada72**^&$,#%%$84xfsadf,H%d%61**&%&,**$@%54xdff,B
7544,#%%$49$*%^&,#%%$30asdgfw,cxscc68adsfy,ddfs42vgfs,C
7545,bffdd50dsffw,ddfs62adsfy,dsfe76xdff,dsfe58$*%^&,A
7546,dsfe81**^&$,sada77$*%^&,#%%$51vgfs,ddfs49asdgfw,B
7547,ddfs58**&%&,ddfs28xdff,H%d%91xfsadf,**$@%93**&%&,B
7548,edf90dsffw,bffdd54**&%&,edf76vgfs,bffdd60adsfy,C
7549,H%d%84**&%&,ddfs90$*%^&,ddfs26**&%&,cxscc58**&%&,D
7550,H%d%77**&%&,sada84xdff,#%%$33$*%^&,#%%$69**&%&,D
7551,cxscc50xdff,ddfs60vgfs,edf41vgfs,ddfs78vgfs,C
7552,bffdd28**&%&,edf46dsffw,H%d%32**&%&,**$@%83vgfs,D
7553,dsfe26dsffw,ddfs60asdgfw,edf50dsffw,**$@%81vgfs,D
7554,ddsfs76asdgfw,sada64xfsadf,ddsfs54$*%^&,edf75dsfy,D
7555,cxscc32adsfy,cxscc84xdff,bffdd33asdgfw,cxscc91dsfy,A
7556,ddfs45vgfs,cxscc78xfsadf,dsfe69**&%&,cxscc33adsfy,B
7557,#%%$85dsffw,**$@%92vgfs,**$@%27$*%^&,bffdd78asdgfw,D
7558,dsfe45dsfy,dsfe89$*%^&,dsfe70dsfy,#%%$65$*%^&,D
7559,H%d%31**&%&,bffdd56dsfy,#%%$93dsffw,ddsfs73**&%&,A
7560,**$@%26adsfy,#%%$46asdgfw,bffdd48asdgfw,sada73xfsadf,D
7561,H%d%65xfsadf,**$@%29asdgfw,cxscc75adsfy,#%%$65xfsadf,B
7562,dsfe48xdff,cxscc54**&%&,cxscc54**&%&,ddfs87dsfy,B
7563,sada39xdff,ddsfs65dsffw,sada55**&%&,cxscc80dsffw,B
7564,**$@%94xdff,edf82xdff,H%d%55**^&$,H%d%70dsfy,C
7565,ddfs36**^&$,dsfe90$*%^&,ddsfs80**&%&,#%%$92vgfs,A
7566,#%%$60dsffw,dsfe87asdgfw,cxscc94vgfs,ddfs65dsffw,D
7567,ddsfs62xfsadf,#%%$39xfsadf,sada60asdgfw,ddsfs62$*%^&,D
7568,H%d%37xdff,edf25adsfy,cxscc33dsffw,sada73$*%^&,C
7569,bffdd56xdff,#%%$86**&%&,**$@%57dsfy,ddfs53**^&$,B
7570,H%d%28dsfy,ddsfs52xfsadf,dsfe36xfsadf,ddsfs91dsfy,C
7571,cxscc72**^&$,ddfs65vgfs,H%d%80xdff,**$@%38vgfs,D
7572,#%%$80adsfy,#%%$32vgfs,ddsfs64dsffw,ddsfs52xdff,A
7573,bffdd77dsfy,dsfe66xfsadf,bffdd29asdgfw,dsfe69dsffw,C
7574,cxscc68**^&$,bffdd57$*%^&,edf52dsffw,cxscc83xfsadf,D
7575,cxscc56asdgfw,dsfe33xdff,#%%$31**&%&,edf86dsfy,A
7576,#%%$61xfsadf,dsfe51xfsadf,ddsfs37**^&$,dsfe29$*%^&,A
7577,edf78**^&$,H%d%26xfsadf,ddfs54**&%&,ddsfs47dsffw,A
7578,sada83**^&$,#%%$33adsfy,**$@%44xfsadf,sada71**^&$,D
7579,dsfe39dsffw,sada62asdgfw,bffdd80asdgfw,cxscc48asdgfw,A
7580,H%d%62dsffw,bffdd88adsfy,edf40xfsadf,#%%$84xdff,C
7581,cxscc91**^&$,cxscc71adsfy,bffdd61asdgfw,ddfs70vgfs,C
7582,bffdd42dsffw,H%d%78**^&$,sada90dsffw,**$@%27**&%&,C
7583,ddfs61asdgfw,ddfs84dsffw,H%d%45dsffw,bffdd51$*%^&,D
7584,ddsfs44**^&$,#%%$25$*%^&,**$@%70adsfy,bffdd64dsfy,D
7585,edf92**&%&,bffdd91xdff,ddfs84**^&$,edf93adsfy,A
7586,cxscc38xdff,H%d%84adsfy,dsfe61dsffw,edf53xdff,A
7587,ddsfs75vgfs,bffdd71vgfs,edf40**&%&,#%%$52dsfy,D
7588,dsfe89xdff,#%%$34asdgfw,ddfs26asdgfw,H%d%69$*%^&,C
7589,cxscc27dsffw,dsfe55**&%&,#%%$59vgfs,sada65**&%&,B
7590,bffdd49xdff,dsfe65dsffw,cxscc77dsffw,ddsfs39asdgfw,A
7591,ddfs41adsfy,#%%$47vgfs,ddfs40adsfy,ddsfs94dsfy,B
7592,H%d%32adsfy,sada52dsffw,bffdd40xfsadf,H%d%79adsfy,B
7593,bffdd43xdff,cxscc88xdff,H%d%49xdff,H%d%83xdff,B
7594,ddfs41adsfy,ddfs55asdgfw,sada58xfsadf,bffdd37**&%&,A
7595,bffdd62**^&$,**$@%59asdgfw,dsfe58dsffw,H%d%93asdgfw,B
7596,**$@%67dsffw,#%%$84**&%&,bffdd51asdgfw,ddsfs49asdgfw,B
7597,dsfe27vgfs,sada59vgfs,ddsfs31dsffw,dsfe28**&%&,C
7598,#%%$69adsfy,ddfs81adsfy,sada78vgfs,#%%$70adsfy,D
